,identifier,manual score,person,VADER compound,VADER positive,VADER neutral,VADER negative
32,51545,2,orian,0.9523,0.09,0.862,0.048
34,51627,4,orian,0.9947,0.091,0.871,0.038
36,52205,4,orian,0.9952,0.118,0.867,0.015
38,52880,3,orian,0.9509,0.08900000000000001,0.882,0.029
41,53562,4,orian,0.9861,0.127,0.843,0.031
42,53603,5,orian,0.9747,0.118,0.802,0.08
44,55189,3,orian,0.9797,0.118,0.847,0.035
46,55293,4,orian,0.9984,0.142,0.79,0.068
52,57486,4,orian,0.9136,0.076,0.8809999999999999,0.043
55,57834,5,orian,0.9983,0.124,0.851,0.025
57,58505,2,orian,0.9872,0.129,0.81,0.061
58,58612,2,orian,0.9863,0.156,0.7959999999999999,0.047
59,58668,5,orian,0.9714,0.116,0.853,0.031
60,58806,5,orian,0.9923,0.155,0.805,0.039
62,60160,5,orian,0.9945,0.123,0.809,0.068
64,60817,5,orian,0.9907,0.106,0.8290000000000001,0.065
65,60896,5,orian,0.6956,0.117,0.8009999999999999,0.083
67,61514,5,orian,0.9999,0.156,0.802,0.042
